path,uri
\als_installers\cf-windows-extensions-installers.zip,https://region-b.geo-1.objects.hpcloudsvc.com/v1/54026737306152/cf-windows-extensions-installers/65-2015-05-04_16-38-58/cf-windows-extensions-installers.zip
\als_installers\cf-logyard-installers.zip,https://region-b.geo-1.objects.hpcloudsvc.com/v1/54026737306152/cf-logyard-installers/11-2015-04-30_21-15-41/cf-logyard-installers.zip
\als_installers\cf-windows-supervisord.zip,https://region-b.geo-1.objects.hpcloudsvc.com/v1/54026737306152/cf-windows-supervisord-installers/24-2015-04-06_09-53-17%2Fcf-windows-supervisord.zip
